,name,pp_percentage
773,openstack-ansible-galera_client,0.0
774,openstack-ansible-galera_server,0.0
775,openstack-ansible-haproxy_server,0.0
776,openstack-ansible-lxc_container_create,0.0
777,openstack-ansible-lxc_hosts,0.0
778,openstack-ansible-memcached_server,0.0
779,openstack-ansible-nspawn_container_create,0.0
780,openstack-ansible-nspawn_hosts,0.0
781,openstack-ansible-openstack_hosts,0.0
782,openstack-ansible-openstack_openrc,0.0
783,openstack-ansible-ops,0.0
784,openstack-ansible-os_almanach,0.0
785,openstack-ansible-os_aodh,0.0
786,openstack-ansible-os_barbican,0.0
787,openstack-ansible-os_blazar,0.0
788,openstack-ansible-os_ceilometer,0.0
789,openstack-ansible-os_cinder,0.0
790,openstack-ansible-os_cloudkitty,0.0
791,openstack-ansible-os_congress,0.0
792,openstack-ansible-os_designate,0.0
793,openstack-ansible-os_freezer,0.0
794,openstack-ansible-os_glance,0.0
795,openstack-ansible-os_gnocchi,0.0
796,openstack-ansible-os_heat,0.0
797,openstack-ansible-os_horizon,0.0
798,openstack-ansible-os_ironic,0.0
799,openstack-ansible-os_karbor,0.0
800,openstack-ansible-os_keystone,0.0
801,openstack-ansible-os_magnum,0.0
802,openstack-ansible-os_manila,0.0
803,openstack-ansible-os_masakari,0.0
804,openstack-ansible-os_mistral,0.0
805,openstack-ansible-os_molteniron,0.0
806,openstack-ansible-os_monasca,0.0
807,openstack-ansible-os_monasca-agent,0.0
808,openstack-ansible-os_monasca-ui,0.0
809,openstack-ansible-os_neutron,0.0
810,openstack-ansible-os_nova,0.0
811,openstack-ansible-os_octavia,0.0
812,openstack-ansible-os_panko,0.0
813,openstack-ansible-os_placement,0.0
814,openstack-ansible-os_rally,0.0
815,openstack-ansible-os_sahara,0.0
816,openstack-ansible-os_searchlight,0.0
817,openstack-ansible-os_swift,0.0
818,openstack-ansible-os_tacker,0.0
819,openstack-ansible-os_tempest,0.0
820,openstack-ansible-os_trove,0.0
821,openstack-ansible-os_watcher,0.0
822,openstack-ansible-os_zaqar,0.0
823,openstack-ansible-os_zun,0.0
824,openstack-ansible-pip_install,0.0
825,openstack-ansible-pip_lock_down,0.0
826,openstack-ansible-plugins,0.0
827,openstack-ansible-rabbitmq_server,0.0
828,openstack-ansible-repo_build,0.0
829,openstack-ansible-repo_server,0.0
830,openstack-ansible-rsyslog_client,0.0
831,openstack-ansible-rsyslog_server,0.0
832,openstack-ansible-security,0.0
833,openstack-ansible-specs,0.0
834,openstack-ansible-tests,0.0
835,openstack-chef,0.0
836,openstack-chef-repo,0.0
837,openstack-chef-specs,0.0
838,openstack-doc-tools,0.0
839,openstack-health,0.0
840,openstack-helm,0.0
841,openstack-helm-addons,0.0
842,openstack-helm-docs,0.0
843,openstack-helm-images,0.0
844,openstack-helm-infra,0.0
845,openstack-manuals,0.0
846,openstack-planet,0.0
847,openstack-salt,0.0
848,openstack-salt-specs,0.0
849,openstack-specs,0.0
850,openstack-ux,0.0
851,openstack-virtual-baremetal,0.0
852,openstackclient,0.0
853,openstackdocstheme,0.0
